Clasificacion,Nombre Local,Distribuición,Pagina Web
Líquidos,El Mundo del Vino,A toda la Región Metropolitana,https://tienda.elmundodelvino.cl/
Líquidos,Emporio TerraMater,A toda la Región Metropolitana,https://www.emporioterramater.cl/emporio/?i=0
Líquidos,Ewine,A toda la Región Metropolitana,https://www.ewine.cl/
Líquidos,Hasta Pronto Brewing Co.,"La Reina, Las Condes, Ñuñoa, Recoleta, Santiago y Vitacura",https://www.hastapronto.cl/
Líquidos,Hello Wine,A toda la Región Metropolitana,https://hellowine.cl/
Líquidos,Jugología,A toda la Región Metropolitana,https://jugologia.cl/
Líquidos,Kombucha Kit,"errillos, Cerro Navia, Colina, Conchalí, El Bosque, Estación Central, Huechuraba, Independencia, Isla de Maipo, La Cisterna, La Florida, La Granja, La Reina, Las Condes, Lo Barnechea, Lo Prado, Macul, Maipú, Ñuñoa, Peñalolén, Pirque, Providencia, Pudahuel, Puente alto, Quilicura, Quinta Normal, Recoleta, Renca, San Bernardo, San Joaquín, San José de Maipo, San Miguel, San Ramón, Santiago y Vitacura.",https://kombuchakit.cl/
Líquidos,La Barra,A toda la Región Metropolitana,https://www.labarra.cl/
Líquidos,La Pizka,"Colina, Independencia, La Reina, Las Condes, Lo Barnechea, Ñuñoa, Providencia, Recoleta, Santiago Centro y Vitacura",https://www.lapizka.cl/
Líquidos,Living Juice,"Huechuraba, La Reina, Las Condes, Lo Barnechea, Ñuñoa, Providencia, Recoleta, Santiago y Vitacura",https://www.livingjuice.com/
Líquidos,Más Agua Chile,A toda la Región Metropolitana,https://www.masaguachile.cl/%20target=
Líquidos,Pisco Monje Negro,A toda la Región Metropolitana,https://www.monjenegro.com/
Líquidos,Santa Rita Online,A toda la Región Metropolitana,https://santaritaonline.com/
Líquidos,Tánico Chile,A toda la Región Metropolitana,https://tanico.cl/
Líquidos,TinoVinto,A toda la Región Metropolitana,https://www.tinovinto.cl/
Líquidos,Vinos Orgánicos Emiliana,A toda la Región Metropolitana,https://tienda.emiliana.cl/
Líquidos,Viña Casas del Bosque,A toda la Región Metropolitana,https://casasdelbosque.cl/tiendaonline/
Líquidos,Viñedos Veramonte,A toda la Región Metropolitana,https://tienda.casonaveramonte.cl/
Líquidos,Vitamina Naranja,"Colina, Estación Central, Huechuraba, La Reina, Las Condes, Lo Barnechea, Macul, Ñuñoa, Peñalolén, Providencia, San Miguel, Santiago Centro y Vitacura.",https://www.catapulta.me/campaigns/vitamina-naranja
Líquidos,Wine Mode,A toda la Región Metropolitana,https://www.thewinemode.com/inicio
Líquidos,Wines of Wines,A toda la Región Metropolitana,https://www.winesofwines.com/
Café,Artisan Roast,A toda la Región Metropolitana,https://www.artisanroast.cl/
Café,Belmio,A toda la Región Metropolitana,https://www.emol.com/noticias/Economia/2020/03/27/981227/www.bcoffee.cl
Café,Café Caribe,A toda la Región Metropolitana,https://www.cafecaribe.cl/%20target=
Café,Café La Divisa,A toda la Región Metropolitana,https://www.cafeladivisa.cl/
Café,Outlet del Café,A toda la Región Metropolitana,https://outletdelcafe.cl/
Café,Peregrino Coffe,"Conchalí, Huechuraba, La Reina, Las Condes, Macul, Ñuñoa, Peñalolén, Providencia, Santiago y Vitacura",https://www.peregrinocoffee.cl/
Aceites,Aceite de oliva Díaz Guerrero,A toda la Región Metropolitana,https://www.facebook.com/Aceite-de-Oliva-Diaz-Guerrero-29484601869/
Aceites,Aceite Las Piedras,A toda la Región Metropolitana,https://laspiedras.cl/
Aceites,Alonso,A toda la Región Metropolitana,https://www.alonsoliveoil.com/aceites
Aceites,Las Doscientas,A toda la Región Metropolitana,https://tienda.las200.cl/
Aceites,Payantume,A toda la Región Metropolitana,https://www.instagram.com/payantume/
Tostadurías o a granel,Avellanuts,A toda la Región Metropolitana,http://www.avellanuts.cl/index.php
Tostadurías o a granel,Frutos Secos a tu Domicilio,"La Reina, Las Condes, Providencia y Vitacura",https://www.instagram.com/frutossecosadomicilio/
Tostadurías o a granel,Natural Self,A toda la Región Metropolitana,https://instagram.com/natural_self_cl/
Tostadurías o a granel,The Power Foods,A toda la Región Metropolitana,https://productos.thepowerfoods.com/
Miel,MonteCarmelo Colmenares,A toda la Región Metropolitana,https://www.instagram.com/montecarmelocolmenares/
Miel,Mundo Miel,A toda la Región Metropolitana,https://www.mundomiel.com/
Sin gluten o para veganos,All Free,A toda la Región Metropolitana,https://www.allfree.cl/
Sin gluten o para veganos,All Nutrition,A toda la Región Metropolitana,https://allnutrition.cl/
Sin gluten o para veganos,Almacén Fibra,"La Reina, Macul, Ñuñoa, Peñalolén, Providencia, San Joaquín y Santiago",https://www.almacenfibra.cl/
