Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados,Fecha
Araucanía,9,Lautaro,9108,40746.0,0.0,30-03-2020
Araucanía,9,Loncoche,9109,24739.0,0.0,30-03-2020
Araucanía,9,Lonquimay,9205,11049.0,0.0,30-03-2020
Araucanía,9,Los Sauces,9206,7517.0,0.0,30-03-2020
Araucanía,9,Lumaco,9207,10050.0,0.0,30-03-2020
Araucanía,9,Melipeuco,9110,6265.0,0.0,30-03-2020
Araucanía,9,Nueva Imperial,9111,33777.0,0.0,30-03-2020
Araucanía,9,Padre Las Casas,9112,82110.0,9.0,30-03-2020
Araucanía,9,Perquenco,9113,7223.0,0.0,30-03-2020
Araucanía,9,Pitrufquen,9114,26096.0,4.0,30-03-2020
Araucanía,9,Pucon,9115,29782.0,0.0,30-03-2020
Araucanía,9,Puren,9208,12188.0,0.0,30-03-2020
Araucanía,9,Renaico,9209,10833.0,0.0,30-03-2020
Araucanía,9,Saavedra,9116,12793.0,0.0,30-03-2020
Araucanía,9,Temuco,9101,302931.0,154.0,30-03-2020
Araucanía,9,Teodoro Schmidt,9117,15786.0,0.0,30-03-2020
Araucanía,9,Tolten,9118,10055.0,0.0,30-03-2020
Araucanía,9,Traiguen,9210,19314.0,0.0,30-03-2020
Araucanía,9,Victoria,9211,35467.0,5.0,30-03-2020
Araucanía,9,Vilcun,9119,30766.0,4.0,30-03-2020
Araucanía,9,Villarrica,9120,59103.0,,30-03-2020
Los Ríos,14,Corral,14102,5447.0,0.0,30-03-2020
Los Ríos,14,Futrono,14202,15261.0,0.0,30-03-2020
Los Ríos,14,La Union,14201,39538.0,0.0,30-03-2020
Los Ríos,14,Lago Ranco,14203,10292.0,0.0,30-03-2020
Los Ríos,14,Lanco,14103,17652.0,0.0,30-03-2020
Los Ríos,14,Los Lagos,14104,20518.0,0.0,30-03-2020
Los Ríos,14,Mafil,14105,7389.0,0.0,30-03-2020
Los Ríos,14,Mariquina,14106,23250.0,0.0,30-03-2020
Los Ríos,14,Paillaco,14107,20798.0,0.0,30-03-2020
Los Ríos,14,Panguipulli,14108,35991.0,0.0,30-03-2020
Los Ríos,14,Rio Bueno,14204,32925.0,0.0,30-03-2020
Los Ríos,14,Valdivia,14101,176774.0,12.0,30-03-2020
Los Lagos,10,Ancud,10202,42458.0,0.0,30-03-2020
Los Lagos,10,Calbuco,10102,36744.0,4.0,30-03-2020
Los Lagos,10,Castro,10201,47607.0,0.0,30-03-2020
Los Lagos,10,Chaiten,10401,5020.0,0.0,30-03-2020
Los Lagos,10,Chonchi,10203,16013.0,0.0,30-03-2020
Los Lagos,10,Cochamo,10103,4006.0,0.0,30-03-2020
Los Lagos,10,Curaco de Velez,10204,4066.0,0.0,30-03-2020
Los Lagos,10,Dalcahue,10205,15069.0,0.0,30-03-2020
Los Lagos,10,Fresia,10104,12656.0,0.0,30-03-2020
Los Lagos,10,Frutillar,10105,20223.0,0.0,30-03-2020
Los Lagos,10,Futaleufu,10402,2806.0,0.0,30-03-2020
Los Lagos,10,Hualaihue,10403,9525.0,0.0,30-03-2020
Los Lagos,10,Llanquihue,10107,18621.0,0.0,30-03-2020
Los Lagos,10,Los Muermos,10106,17817.0,0.0,30-03-2020
Los Lagos,10,Maullin,10108,14894.0,0.0,30-03-2020
Los Lagos,10,Osorno,10301,173410.0,66.0,30-03-2020
Los Lagos,10,Palena,10404,1827.0,0.0,30-03-2020
Los Lagos,10,Puerto Montt,10101,269398.0,34.0,30-03-2020
Los Lagos,10,Puerto Octay,10302,9192.0,0.0,30-03-2020
Los Lagos,10,Puerto Varas,10109,48620.0,0.0,30-03-2020
Los Lagos,10,Puqueldon,10206,4201.0,0.0,30-03-2020
Los Lagos,10,Purranque,10303,21080.0,0.0,30-03-2020
Los Lagos,10,Puyehue,10304,11787.0,0.0,30-03-2020
Los Lagos,10,Queilen,10207,5543.0,0.0,30-03-2020
Los Lagos,10,Quellon,10208,29309.0,0.0,30-03-2020
Los Lagos,10,Quemchi,10209,8783.0,0.0,30-03-2020
Los Lagos,10,Quinchao,10210,8298.0,0.0,30-03-2020
Los Lagos,10,Rio Negro,10305,14275.0,0.0,30-03-2020
Los Lagos,10,San Juan de la Costa,10306,7639.0,0.0,30-03-2020
Los Lagos,10,San Pablo,10307,10553.0,0.0,30-03-2020
Aysén,11,Aysen,11201,25002.0,0.0,30-03-2020
Aysén,11,Chile Chico,11401,5121.0,0.0,30-03-2020
Aysén,11,Cisnes,11202,5828.0,0.0,30-03-2020
Aysén,11,Cochrane,11301,3685.0,0.0,30-03-2020
Aysén,11,Coyhaique,11101,61210.0,0.0,30-03-2020
Aysén,11,Guaitecas,11203,1599.0,0.0,30-03-2020
Aysén,11,Lago Verde,11102,920.0,0.0,30-03-2020
Aysén,11,OHiggins,11302,661.0,0.0,30-03-2020
Aysén,11,Rio Ibanez,11402,2699.0,0.0,30-03-2020
Aysén,11,Tortel,11303,572.0,0.0,30-03-2020
Magallanes,12,Antartica,12202,137.0,0.0,30-03-2020
Magallanes,12,Cabo de Hornos,12201,1983.0,5.0,30-03-2020
Magallanes,12,Laguna Blanca,12102,264.0,0.0,30-03-2020
Magallanes,12,Natales,12401,23782.0,0.0,30-03-2020
Magallanes,12,Porvenir,12301,7323.0,0.0,30-03-2020
Magallanes,12,Primavera,12302,694.0,0.0,30-03-2020
Magallanes,12,Punta Arenas,12101,141984.0,29.0,30-03-2020
Magallanes,12,Rio Verde,12103,211.0,0.0,30-03-2020
Magallanes,12,San Gregorio,12104,681.0,0.0,30-03-2020
Magallanes,12,Timaukel,12303,282.0,0.0,30-03-2020
Magallanes,12,Torres del Paine,12402,1021.0,0.0,30-03-2020
Arica y Parinacota,15,Arica,15101,247552.0,6.0,01-04-2020
Arica y Parinacota,15,Camarones,15102,1233.0,0.0,01-04-2020
Arica y Parinacota,15,General Lagos,15202,810.0,0.0,01-04-2020
Arica y Parinacota,15,Putre,15201,2515.0,0.0,01-04-2020
Tarapacá,1,Alto Hospicio,1107,129999.0,0.0,01-04-2020
Tarapacá,1,Camina,1402,1375.0,0.0,01-04-2020
Tarapacá,1,Colchane,1403,1583.0,0.0,01-04-2020
Tarapacá,1,Huara,1404,3000.0,0.0,01-04-2020
Tarapacá,1,Iquique,1101,223463.0,9.0,01-04-2020
Tarapacá,1,Pica,1405,5958.0,0.0,01-04-2020
Tarapacá,1,Pozo Almonte,1401,17395.0,0.0,01-04-2020
Antofagasta,2,Antofagasta,2101,425725.0,32.0,01-04-2020
Antofagasta,2,Calama,2201,190336.0,0.0,01-04-2020
Antofagasta,2,Maria Elena,2302,6814.0,0.0,01-04-2020
Antofagasta,2,Mejillones,2102,14776.0,0.0,01-04-2020
Antofagasta,2,Ollague,2202,287.0,0.0,01-04-2020
Antofagasta,2,San Pedro de Atacama,2203,10434.0,0.0,01-04-2020
Antofagasta,2,Sierra Gorda,2103,1746.0,0.0,01-04-2020
Antofagasta,2,Taltal,2104,13657.0,0.0,01-04-2020
Antofagasta,2,Tocopilla,2301,28079.0,0.0,01-04-2020
Atacama,3,Alto del Carmen,3302,5729.0,0.0,01-04-2020
Atacama,3,Caldera,3102,19426.0,0.0,01-04-2020
Atacama,3,Chanaral,3201,13164.0,0.0,01-04-2020
Atacama,3,Copiapo,3101,171766.0,0.0,01-04-2020
Atacama,3,Diego de Almagro,3202,14358.0,0.0,01-04-2020
Atacama,3,Freirina,3303,7681.0,0.0,01-04-2020
Atacama,3,Huasco,3304,11264.0,0.0,01-04-2020
Atacama,3,Tierra Amarilla,3103,14312.0,0.0,01-04-2020
Atacama,3,Vallenar,3301,57009.0,0.0,01-04-2020
Coquimbo,4,Andacollo,4103,11791.0,0.0,01-04-2020
Coquimbo,4,Canela,4202,9546.0,0.0,01-04-2020
Coquimbo,4,Combarbala,4302,13884.0,0.0,01-04-2020
Coquimbo,4,Coquimbo,4102,256735.0,19.0,01-04-2020
Coquimbo,4,Illapel,4201,32801.0,0.0,01-04-2020
